"","y_pred","y_true","type"
"1",3.15343010444725,2.586392765,"train"
"2",4.45772393025624,2.531668443,"train"
"3",5.37854275033895,3.498439921,"train"
"4",4.33998177676232,2.963068114,"train"
"5",4.46919798207619,2.856703298,"train"
"6",4.38111276206777,4.247825378,"train"
"7",5.02566391496879,9.170359005,"train"
"8",5.21932904385931,6.707967846,"train"
"9",3.90266987156281,2.932162964,"train"
"10",3.65140617538075,2.665251231,"train"
"11",4.28163302193214,3.5582552,"train"
"12",4.09218735320764,3.640337161,"train"
"13",4.91466499400108,6.505982899,"train"
"14",4.92396828825488,6.805133358,"train"
"15",5.14258443733742,6.864198242,"train"
"16",4.11600933297048,3.089587319,"train"
"17",5.37140703757599,6.198179633,"train"
"18",4.20453680003732,2.785732239,"test"
"19",4.69943217783817,4.197142915,"test"
