"","y_pred","y_true","type"
"1",2.87867586315533,2.586392765,"train"
"2",4.30120715470627,2.531668443,"train"
"3",5.0241306108656,3.498439921,"train"
"4",4.14385279041714,2.963068114,"train"
"5",4.28471117445746,2.856703298,"train"
"6",4.39965256959841,4.247825378,"train"
"7",4.84452927204378,9.170359005,"train"
"8",5.42468193926172,6.707967846,"train"
"9",4.04659495897125,2.932162964,"train"
"10",3.371339825112,2.665251231,"train"
"11",4.43014821146335,3.5582552,"train"
"12",4.03669051136984,3.640337161,"train"
"13",4.97959174268562,6.505982899,"train"
"14",5.21963330218613,6.805133358,"train"
"15",5.67499645033656,6.864198242,"train"
"16",3.80976074189192,3.089587319,"train"
"17",5.95131565847764,6.198179633,"train"
"18",4.29093826381101,2.785732239,"test"
"19",4.87349468434167,4.197142915,"test"
