"","y_pred","y_true","type"
"1",31.8336728057828,21.15384615,"train"
"2",45.9098976912681,24.52830189,"train"
"3",52.1101156138348,31.14754098,"train"
"4",48.6863788017713,30.23255814,"train"
"5",48.5714423564093,38,"train"
"6",48.6166604475392,56.66666667,"train"
"7",49.7475208689503,91.95402299,"train"
"8",50.7262702179979,65.55556,"train"
"9",36.6839407103601,35.29411765,"train"
"10",32.2251353537905,13.95348837,"train"
"11",41.7290818117484,34.92063492,"train"
"12",41.5041171592968,36.50793651,"train"
"13",50.5687418566931,66.35514019,"train"
"14",48.8699664802527,81.73913043,"train"
"15",49.4951200516181,54.90196078,"train"
"16",35.3771209433458,22.22222222,"train"
"17",47.7970936593406,55.31914894,"train"
"18",47.1031107494034,33.33333333,"test"
"19",49.8691647497933,59.3220339,"test"
