"","y_pred","y_true","type"
"1",32.9583853756326,19.60784314,"train"
"2",43.1256062528645,22.64150943,"train"
"3",51.5046288353358,30.95238095,"train"
"4",43.5542133543542,20.93023256,"train"
"5",44.3220260538039,23.25581395,"train"
"6",43.8868469335585,50,"train"
"7",47.9368695278676,92.06349206,"train"
"8",49.5292815208972,74.48979592,"train"
"9",38.7365937663578,32.35294118,"train"
"10",35.2117772537588,21.95121951,"train"
"11",41.2599526372284,28.33333333,"train"
"12",39.8140637307414,41.42857143,"train"
"13",47.1484346017815,62.3655914,"train"
"14",45.9381055689134,80.86956522,"train"
"15",47.6503197461489,63.82978723,"train"
"16",37.3992243873591,16,"train"
"17",46.6513033233966,55.55555556,"train"
"18",42.9337427246746,25,"test"
"19",46.331146774221,44.06779661,"test"
