"","y_pred","y_true","type"
"1",8.84579241694396,11.76470588,"train"
"2",29.5258421273952,11.32075472,"train"
"3",40.0330431558372,19.04761905,"train"
"4",24.3671623004755,6.976744186,"train"
"5",27.1149790073834,18.60465116,"train"
"6",27.9120499880267,25,"train"
"7",36.6801821570679,76.19047619,"train"
"8",47.7696167993067,65.30612245,"train"
"9",27.9675237579013,23.52941176,"train"
"10",18.1067183597636,12.19512195,"train"
"11",30.7706707816892,21.66666667,"train"
"12",23.190995992058,17.14285714,"train"
"13",35.9591386553367,49.46236559,"train"
"14",36.8372920396931,56.52173913,"train"
"15",45.4414225981775,55.31914894,"train"
"16",23.3259188954226,12,"train"
"17",44.8667024535215,46.66666667,"train"
"18",27.6663323735466,13.63636364,"test"
"19",36.4843288669851,30.50847458,"test"
